event_id,user_id,event_time,event_type,metadata
f2c4737f-890d-4e3e-9466-c7b3e8e0298e,user_infrequent_66,2026-02-18 17:39:00,scroll,path_/3
3ba3f518-7d49-4adf-b547-5136b415def2,user_infrequent_75,2026-02-18 16:08:00,page_view,path_/3
f780de15-3f7e-4051-a72e-529acdaeddab,user_power_8,2026-02-18 17:57:00,scroll,path_/15
47ead2a1-ca9b-46de-b35b-f763ce464d1f,user_infrequent_27,2026-02-18 16:52:00,click,path_/14
2ce81ecc-1e99-47af-aebc-5f4abccd41ac,user_power_7,2026-02-18 10:25:00,page_view,path_/3
51fac74a-f2eb-4b96-a6ba-69e60b3049f8,user_infrequent_51,2026-02-18 14:33:00,add_to_cart,path_/8
74a1572d-398a-44e6-9086-d64f8e67d7a6,user_infrequent_32,2026-02-18 09:45:00,scroll,path_/19
a13bf9dd-c6ac-435c-b738-d86a3b6beb09,user_infrequent_75,2026-02-18 14:30:00,page_view,path_/16
3d20273b-578e-4355-b427-99ba036e1418,user_infrequent_65,2026-02-18 11:55:00,scroll,path_/19
45fb8d44-4703-4353-9bc9-fc0970ad80c1,user_infrequent_32,2026-02-18 12:13:00,add_to_cart,path_/2
03ccafd6-edb0-4708-8853-5fc5f1e9b309,user_infrequent_22,2026-02-18 08:21:00,page_view,path_/1
0966a98f-0bcf-40d1-91d1-31e48bf508e0,user_power_14,2026-02-18 15:51:00,page_view,path_/7
c9a997bf-29c6-4713-8a5d-416763763225,user_infrequent_32,2026-02-18 23:41:00,scroll,path_/1
1acb1d97-6b7f-4fea-a0ce-9f416514d239,user_power_16,2026-02-18 22:54:00,page_view,path_/9
d086864e-20fa-47be-9b0a-f2684cc00850,user_power_6,2026-02-18 15:55:00,add_to_cart,path_/3
c634609d-87b2-4c6a-8405-4f9fb7d22d91,user_power_3,2026-02-18 12:15:00,add_to_cart,path_/6
0a2a5205-cf8a-4fe8-87e5-575f1b5f4420,user_power_17,2026-02-18 09:04:00,click,path_/11
bd7f0e13-e20a-4a38-a49e-05bc502c24d8,user_infrequent_66,2026-02-18 02:00:00,page_view,path_/10
73b754fb-7a94-49f0-adc9-174845697fd4,user_power_1,2026-02-18 09:21:00,scroll,path_/2
9cd28233-adfc-44b1-b371-8486ca3f93bc,user_power_7,2026-02-18 09:34:00,page_view,path_/6
5fb91894-1d0d-44f4-ab24-2f57b24ceeae,user_infrequent_9,2026-02-18 07:00:00,scroll,path_/6
37a8947f-cd4b-409b-8c9e-307dde938bdd,user_power_1,2026-02-18 21:32:00,scroll,path_/10
920b29d3-c7f5-45eb-a1b2-54a3518976f2,user_power_0,2026-02-18 07:17:00,click,path_/4
4a45eef7-7acb-4f70-ae5c-ca11b5b1a566,user_infrequent_50,2026-02-18 07:07:00,add_to_cart,path_/3
ef2eff6c-5791-4e1e-af66-3698a41ae03c,user_infrequent_65,2026-02-18 17:35:00,scroll,path_/9
f04df8de-4aae-4809-99eb-8e5f020e8641,user_infrequent_47,2026-02-18 09:13:00,add_to_cart,path_/7
19902426-ca4a-4bf8-8d2a-df04f30f4e2a,user_power_1,2026-02-18 04:43:00,add_to_cart,path_/15
0b00e8e1-5a4b-4a22-8853-f407af5aa81f,user_power_16,2026-02-18 11:00:00,page_view,path_/7
e31e4330-d056-4935-80ad-6b8550469f1e,user_power_15,2026-02-18 14:47:00,scroll,path_/2
39bc25c6-9979-4d05-804f-01503eac0ca4,user_infrequent_8,2026-02-18 09:07:00,add_to_cart,path_/17
0e5fc1f7-183c-4f74-8139-2a2fa2d097ff,user_infrequent_63,2026-02-18 09:10:00,scroll,path_/19
68cca45b-e106-48a8-acb5-bb4546433eed,user_infrequent_79,2026-02-18 18:13:00,add_to_cart,path_/9
30e7bc38-9bd7-4125-b037-9b1c08523c75,user_power_19,2026-02-18 18:18:00,add_to_cart,path_/6
c530f729-fd4c-45cd-908a-dfbc15051915,user_infrequent_25,2026-02-18 10:14:00,click,path_/1
1da58e92-cd38-43ae-8fc3-65c8e0e423f2,user_power_12,2026-02-18 07:44:00,page_view,path_/15
f27a2b8c-2589-4645-8f45-036a8a8bc089,user_infrequent_41,2026-02-18 08:00:00,click,path_/6
ebace4e9-b943-44ff-86fa-7a43894ba7be,user_power_17,2026-02-18 11:23:00,click,path_/7
1d3c8bf7-ee22-4118-a430-c626c9162f62,user_infrequent_14,2026-02-18 11:00:00,add_to_cart,path_/3
a51d563f-73ef-47b4-9696-d3ba7ae46988,user_infrequent_52,2026-02-18 00:00:00,scroll,path_/10
f3ae66ab-87b9-4652-96a8-f9f262bf24ba,user_infrequent_23,2026-02-18 19:13:00,scroll,path_/4
b07204c4-9bce-441a-9898-57059a6b2d98,user_power_9,2026-02-18 11:22:00,add_to_cart,path_/4
e3c2daeb-4827-4f64-8858-9d6dbe566cb6,user_power_6,2026-02-18 13:43:00,click,path_/8
82def7e5-b766-426b-8647-3294e8181495,user_power_12,2026-02-18 15:58:00,click,path_/19
1f9c951b-faa2-4d4b-ad7b-6dee9a228968,user_power_3,2026-02-18 06:30:00,scroll,path_/19
9ecb88e3-941a-4b21-bd13-5c8d85637cd9,user_power_15,2026-02-18 15:42:00,page_view,path_/15
877f4016-8746-41f6-89c2-ba450fc120a6,user_power_16,2026-02-18 18:49:00,click,path_/18
f37bb55a-c781-45f6-988a-17c5cbb6905e,user_infrequent_5,2026-02-18 23:20:00,add_to_cart,path_/7
a9c8390e-181e-44a5-ac8f-abcc52f391ca,user_power_12,2026-02-18 13:57:00,click,path_/14
e0b4bc7e-c8c2-4bd9-bb29-ade89c29c7c5,user_power_6,2026-02-18 18:00:00,click,path_/18
07288491-24c2-4f6d-bf78-e9d7d57a50cc,user_power_1,2026-02-18 23:25:00,add_to_cart,path_/3
5d7dbeae-2f6a-4863-a3e4-ff988ac1c8e9,user_power_5,2026-02-18 23:44:00,page_view,path_/3
d0bbb3a4-ec75-4d35-9a52-f3f2ebca454d,user_power_1,2026-02-18 19:19:00,add_to_cart,path_/6
83377465-c6f1-415d-a9ba-6fddc6de268f,user_infrequent_44,2026-02-18 11:47:00,add_to_cart,path_/2
f79a6ee5-bc2e-4aa8-a376-edc4e21eee7b,user_power_7,2026-02-18 15:55:00,click,path_/15
fd15bc36-3b66-4067-96ca-8d83e3f51ab2,user_power_9,2026-02-18 05:36:00,page_view,path_/1
ef4ecb32-b980-4c44-81fe-b36f84709048,user_power_15,2026-02-18 23:46:00,scroll,path_/1
ed07efff-488b-4c8c-aa14-73910bf6505b,user_power_9,2026-02-18 15:12:00,add_to_cart,path_/9
615b4f58-6247-468f-a212-964b44738a6a,user_infrequent_52,2026-02-18 12:39:00,page_view,path_/16
f63801fc-c669-4fd1-960c-c89ad68fd0cb,user_infrequent_7,2026-02-18 17:33:00,click,path_/1
6df6a76d-6fbe-481d-b3b6-9f5383a9e9d4,user_infrequent_1,2026-02-18 06:06:00,click,path_/9
569c0ce1-88fd-4164-9ca0-20544b03473d,user_power_12,2026-02-18 11:28:00,add_to_cart,path_/2
de9e6f57-c23d-4150-a860-f5fba3963cae,user_infrequent_3,2026-02-18 19:45:00,add_to_cart,path_/16
9c170744-e752-4a1b-957f-0950162a9856,user_power_15,2026-02-18 12:51:00,page_view,path_/17
0df1b45e-9476-4b98-9c9f-11081755b7d1,user_power_9,2026-02-18 11:07:00,add_to_cart,path_/5
ee1c1764-5d9d-46f8-815c-f639c0caf214,user_infrequent_57,2026-02-18 19:44:00,page_view,path_/15
a178a645-784e-4e7e-b4e2-33fce9883e7b,user_infrequent_32,2026-02-18 20:07:00,add_to_cart,path_/9
ed0523e5-fc8e-47fd-a7d4-500d5ede8b49,user_infrequent_62,2026-02-18 09:18:00,click,path_/13
1003a586-4e3f-4652-a4b9-120c8c193254,user_power_17,2026-02-18 07:44:00,page_view,path_/14
d747e97b-0cff-40b0-bf3e-cbb9b820d8b8,user_infrequent_12,2026-02-18 07:28:00,click,path_/16
22585c29-3c7e-409d-b992-f63349b26bde,user_infrequent_26,2026-02-18 22:24:00,page_view,path_/9
24208a23-e4d9-45a6-bceb-a05c1f3873c7,user_infrequent_5,2026-02-18 08:00:00,scroll,path_/11
3bb3b8f8-568e-4238-974e-cdb20d44a182,user_power_0,2026-02-18 21:05:00,add_to_cart,path_/3
bf414c44-e9f9-49f3-9d80-9754032189cb,user_power_3,2026-02-18 01:49:00,page_view,path_/10
0719b41d-79e6-4952-ba15-2b5cc4b754f8,user_power_17,2026-02-18 22:15:00,add_to_cart,path_/4
3af42888-dad9-4580-b574-b75363f35e59,user_power_5,2026-02-18 14:13:00,add_to_cart,path_/13
14772b70-6c98-43ba-bc98-71d39061fd3f,user_infrequent_7,2026-02-18 14:16:00,page_view,path_/5
ea02a350-e1ad-4b4e-be13-89a8d9318a66,user_power_3,2026-02-18 16:19:00,scroll,path_/14
0009900e-d975-476e-8dbc-a81035a3897e,user_power_0,2026-02-18 13:35:00,add_to_cart,path_/15
2ec3c77b-1180-4132-b7bd-4586b84ba2dc,user_power_0,2026-02-18 07:01:00,click,path_/2
c4d74481-875e-478f-9ab2-e55e4fd079a1,user_power_15,2026-02-18 22:05:00,scroll,path_/14
2d82fa1e-efc8-41c6-8879-0636c8c28f0d,user_infrequent_55,2026-02-18 15:36:00,page_view,path_/17
1ae1d3d2-2b24-4f06-940f-b05585f8048b,user_power_6,2026-02-18 06:08:00,add_to_cart,path_/14
76e6b670-9c08-493a-9e29-d98f10e3f247,user_power_12,2026-02-18 07:00:00,scroll,path_/8
e28659c2-2404-45a4-80a0-360ec2501985,user_power_8,2026-02-18 12:37:00,click,path_/10
b2f2a1e2-1850-43d7-9294-94f101255ee1,user_power_14,2026-02-18 23:43:00,add_to_cart,path_/17
b1f401dc-208e-4b90-849e-196e6cb7c2f9,user_power_6,2026-02-18 19:10:00,page_view,path_/1
7cd28157-6a2e-4f10-949d-fd066b3618ab,user_power_9,2026-02-18 07:22:00,click,path_/18
99296b4b-a7ab-412a-893c-31fda6921db9,user_power_3,2026-02-18 01:17:00,click,path_/14
69355297-1255-4383-9b49-f97675def1f7,user_power_14,2026-02-18 19:16:00,page_view,path_/16
511b4173-b78c-4c14-a35a-0b8bf22f0009,user_power_15,2026-02-18 13:13:00,add_to_cart,path_/17
e67c366c-9200-46d7-9aea-9d3c56730b41,user_power_19,2026-02-18 11:42:00,click,path_/15
db3416c1-1d1b-4a32-970d-284fa53818ee,user_infrequent_5,2026-02-18 20:44:00,scroll,path_/11
1250f6aa-e104-4ea5-b29a-ee073134e1b1,user_power_15,2026-02-18 09:43:00,page_view,path_/13
907616ff-b210-46fa-9f0d-3a4caaa06f5b,user_power_6,2026-02-18 19:30:00,click,path_/8
b44e0314-2703-4f2f-802b-dfc21c1d6e76,user_power_1,2026-02-18 15:36:00,click,path_/14
6c39a97b-dc41-4bb2-ae3a-d3ebb55d84dc,user_power_12,2026-02-18 15:54:00,click,path_/14
8a5233eb-f937-4d86-b807-2e9956b40e6f,user_infrequent_18,2026-02-18 18:05:00,scroll,path_/10
67394101-ad63-4478-a1a7-e849006dab19,user_power_10,2026-02-18 09:49:00,add_to_cart,path_/14
23d64284-f03c-4fb9-b2d0-bc5d435dc04e,user_power_14,2026-02-18 04:38:00,scroll,path_/7
7e434402-f3aa-4ddf-a1df-b3bb219f674b,user_power_4,2026-02-18 12:28:00,scroll,path_/3
bab486a2-364a-46cd-9328-71a6e6490e0d,user_power_11,2026-02-18 14:26:00,page_view,path_/6
889cfb8c-ba11-4bb0-85e4-a8f3d9841a62,user_power_1,2026-02-18 05:03:00,add_to_cart,path_/13
56c75372-0c6e-4c7a-9e18-6fd5b034df58,user_power_3,2026-02-18 20:39:00,click,path_/8
cb06001b-682a-4dac-b5c0-59f8e6d84ffe,user_power_2,2026-02-18 16:37:00,scroll,path_/18
e6b250ee-4eb7-4a15-8642-ba48e53909c7,user_infrequent_32,2026-02-18 08:36:00,add_to_cart,path_/2
ba71bfbb-3494-468f-a4c9-4be4a84287d2,user_infrequent_24,2026-02-18 13:35:00,click,path_/1
3a6ad28d-f932-443c-af6b-c42c51ab82e9,user_infrequent_32,2026-02-18 23:07:00,click,path_/6
77506ec9-994d-428b-bbbb-be2b108108e3,user_infrequent_50,2026-02-18 15:18:00,click,path_/5
5fedbe32-a68b-4542-bb45-da1a9855b5fb,user_infrequent_14,2026-02-18 22:28:00,click,path_/7
3ba51444-b8cc-4aa5-a4ce-2358b0451ab9,user_power_1,2026-02-18 21:08:00,add_to_cart,path_/11
da5ed814-2545-4d47-9587-03c908b33723,user_power_11,2026-02-18 23:19:00,page_view,path_/18
b5d51e3a-0369-4c33-be75-ebe543ef1a1f,user_power_2,2026-02-18 21:42:00,page_view,path_/11
1ad1dab2-7747-4a99-8fb7-1e6d0008daac,user_power_13,2026-02-18 21:37:00,add_to_cart,path_/13
2fb634b9-88d6-4222-848b-1e1c629af002,user_power_11,2026-02-18 19:02:00,click,path_/16
32a30b01-b769-4513-894b-40a7a80e1f74,user_power_16,2026-02-18 09:29:00,scroll,path_/1
5edc45c0-ce6e-466e-b70b-54338a044941,user_infrequent_40,2026-02-18 23:17:00,click,path_/19
cf6af19a-e588-42d2-8ace-14bb836f7382,user_power_10,2026-02-18 10:06:00,scroll,path_/7
bf77b755-f310-4806-83cd-401c74cba3c3,user_infrequent_78,2026-02-18 18:28:00,click,path_/18
8d35ef54-56be-45bf-bb71-c2ed4f6ccdf9,user_power_12,2026-02-18 07:41:00,add_to_cart,path_/11
01935561-99b7-4114-bceb-cd06bdd8cff2,user_power_12,2026-02-18 11:25:00,add_to_cart,path_/15
547946b1-e2be-4cfd-9f8d-dfafe628395c,user_infrequent_47,2026-02-18 16:36:00,page_view,path_/6
b6fb4cb5-d477-4979-bde8-0372fe55bcee,user_infrequent_17,2026-02-18 16:30:00,click,path_/17
2b15d3cc-02c1-454f-941a-8c9845002d6b,user_infrequent_6,2026-02-18 15:48:00,click,path_/5
472f7dbc-268d-457a-a6c3-e455af938230,user_infrequent_51,2026-02-18 11:59:00,add_to_cart,path_/12
111ea1d0-422a-47e8-8f5b-61587e070ff7,user_power_18,2026-02-18 10:17:00,page_view,path_/19
520cec8b-072d-4a31-8058-9a372bcc25e8,user_power_19,2026-02-18 13:12:00,page_view,path_/3
7bafcb16-83dc-40e6-a282-c3a368c04bc4,user_power_3,2026-02-18 20:57:00,scroll,path_/13
58ffb909-fd3a-41fc-b076-6b078036e6ca,user_infrequent_13,2026-02-18 04:26:00,click,path_/8
